custom_class,ebird_code,global_label,status
Orthonyx temminckii_Australian Logrunner,soulog1,Orthonyx temminckii_Australian Logrunner,same_label
Pachycephala inornata_Gilberts Whistler,gilwhi1,Pachycephala inornata_Gilbert's Whistler,renamed_since_global
Pachycephala pectoralis_Golden Whistler,y01193,Pachycephala pectoralis_Golden Whistler,same_label
Pachycephala rufiventris_Rufous Whistler,rufwhi1,Pachycephala rufiventris_Rufous Whistler,same_label
Pandion haliaetus_Osprey,osprey,Pandion haliaetus_Osprey,same_label
Pardalotus punctatus_Spotted Pardalote,spopar1,Pardalotus punctatus_Spotted Pardalote,same_label
Pardalotus rubricatus_Red-browed Pardalote,rebpar6,Pardalotus rubricatus_Red-browed Pardalote,same_label
Pardalotus striatus_Striated Pardalote,strpar1,Pardalotus striatus_Striated Pardalote,same_label
Passer domesticus_House Sparrow,houspa,Passer domesticus_House Sparrow,same_label
Pedionomus torquatus_Plains Wanderer,plawan1,,not_in_global_model
Pelecanus conspicillatus_Australian Pelican,auspel1,Pelecanus conspicillatus_Australian Pelican,same_label
Peltohyas australis_Inland Dotterel,inldot2,,not_in_global_model
Petrochelidon ariel_Fairy Martin,faimar2,Petrochelidon ariel_Fairy Martin,same_label
Petrochelidon nigricans_Tree Martin,tremar2,Petrochelidon nigricans_Tree Martin,same_label
Petroica boodang_Scarlet Robin,scarob2,Petroica boodang_Scarlet Robin,same_label
Petroica goodenovii_Red-capped Robin,recrob1,Petroica goodenovii_Red-capped Robin,same_label
Petroica phoenicea_Flame Robin,flarob1,Petroica phoenicea_Flame Robin,same_label
Petroica rosea_Rose Robin,rosrob1,Petroica rosea_Rose Robin,same_label
Pezoporus wallicus_Ground Parrot,gropar1,Pezoporus wallicus_Ground Parrot,same_label
Phalacrocorax carbo_Great Cormorant,grecor,Phalacrocorax carbo_Great Cormorant,same_label
Phalacrocorax sulcirostris_Little Black Cormorant,libcor1,,not_in_global_model
Phalacrocorax varius_Pied Cormorant,piecor1,,not_in_global_model
Phaps chalcoptera_Common Bronzewing,combro1,Phaps chalcoptera_Common Bronzewing,same_label
Phaps elegans_Brush Bronzewing,brubro1,Phaps elegans_Brush Bronzewing,same_label
Phaps histrionica_Flock Bronzewing,flobro1,,not_in_global_model
Philemon citreogularis_Little Friarbird,litfri1,Philemon citreogularis_Little Friarbird,same_label
Philemon corniculatus_Noisy Friarbird,noifri1,Philemon corniculatus_Noisy Friarbird,same_label
Phylidonyris niger_White-cheeked Honeyeater,whchon2,Phylidonyris niger_White-cheeked Honeyeater,same_label
Phylidonyris novaehollandiae_New Holland Honeyeater,nehhon2,Phylidonyris novaehollandiae_New Holland Honeyeater,same_label
Pitta versicolor_Noisy Pitta,noipit1,Pitta versicolor_Noisy Pitta,same_label
Platalea flavipes_Yellow-billed Spoonbill,yebspo1,,not_in_global_model
Platalea regia_Royal Spoonbill,royspo1,,not_in_global_model
Platycercus elegans_Crimson Rosella,criros2,Platycercus elegans_Crimson Rosella,same_label
Platycercus eximius_Eastern Rosella,easros1,Platycercus eximius_Eastern Rosella,same_label
Plectorhyncha lanceolata_Striped Honeyeater,strhon1,Plectorhyncha lanceolata_Striped Honeyeater,same_label
Plegadis falcinellus_Glossy Ibis,gloibi,Plegadis falcinellus_Glossy Ibis,same_label
Podargus strigoides_Tawny Frogmouth,tawfro1,Podargus strigoides_Tawny Frogmouth,same_label
Podiceps cristatus_Great Crested Grebe,grcgre1,Podiceps cristatus_Great Crested Grebe,same_label
Poliocephalus poliocephalus_Hoary-headed Grebe,hohgre1,,not_in_global_model
Polytelis swainsonii_Superb Parrot,suppar1,Polytelis swainsonii_Superb Parrot,same_label
Pomatostomus ruficeps_Chestnut-crowned Babbler,chcbab2,Pomatostomus ruficeps_Chestnut-crowned Babbler,same_label
Pomatostomus superciliosus_White-browed Babbler,whbbab3,Pomatostomus superciliosus_White-browed Babbler,same_label
Pomatostomus temporalis_Grey-crowned Babbler,gycbab1,Pomatostomus temporalis_Gray-crowned Babbler,renamed_since_global
Poodytes gramineus_Little Grassbird,litgra1,Poodytes gramineus_Little Grassbird,same_label
Porphyrio melanotus_Australasian Swamphen,purswa6,Porphyrio melanotus_Australasian Swamphen,same_label
Porzana fluminea_Australian Spotted Crake,auscra1,,not_in_global_model
Psephotellus varius_Mulga Parrot,mulpar1,Psephotus varius_Mulga Parrot,renamed_since_global
Psephotus haematonotus_Red-rumped Parrot,rerpar1,Psephotus haematonotus_Red-rumped Parrot,same_label
Psitteuteles pusillus_Little Lorikeet,litlor1,Parvipsitta pusilla_Little Lorikeet,renamed_since_global
Psophodes cristatus_Chirruping Wedgebill,chiwed2,Psophodes cristatus_Chirruping Wedgebill,same_label
Psophodes olivaceus_Eastern Whipbird,easwhi1,Psophodes olivaceus_Eastern Whipbird,same_label
Ptilinopus regina_Rose-crowned Fruit-Dove,rcfdov1,Ptilinopus regina_Rose-crowned Fruit-Dove,same_label
Ptilonorhynchus violaceus_Satin Bowerbird,satbow1,Ptilonorhynchus violaceus_Satin Bowerbird,same_label
Ptilotula fusca_Fuscous Honeyeater,fushon1,Ptilotula fusca_Fuscous Honeyeater,same_label
Ptilotula ornata_Yellow-plumed Honeyeater,yephon1,Ptilotula ornata_Yellow-plumed Honeyeater,same_label
Ptilotula penicillata_White-plumed Honeyeater,whphon1,Ptilotula penicillata_White-plumed Honeyeater,same_label
Ptilotula plumula_Grey-fronted Honeyeater,gyfhon1,,not_in_global_model
Purnella albifrons_White-fronted Honeyeater,whfhon1,Purnella albifrons_White-fronted Honeyeater,same_label
Pycnonotus jocosus_Red-whiskered Bulbul,rewbul,Pycnonotus jocosus_Red-whiskered Bulbul,same_label
Pycnoptilus floccosus_Pilotbird,pilotb1,Pycnoptilus floccosus_Pilotbird,same_label
Pyrrholaemus brunneus_Redthroat,redthr1,Pyrrholaemus brunneus_Redthroat,same_label
Pyrrholaemus sagittatus_Speckled Warbler,spewar3,Pyrrholaemus sagittatus_Speckled Warbler,same_label
Recurvirostra novaehollandiae_Red-necked Avocet,renavo1,,not_in_global_model
Rhipidura albiscapa_Grey Fantail,gryfan1,Rhipidura albiscapa_Gray Fantail,renamed_since_global
Rhipidura leucophrys_Willie-wagtail,wilwag1,Rhipidura leucophrys_Willie-wagtail,same_label
Rhipidura rufifrons_Australian Rufous Fantail,ruffan13,Rhipidura rufifrons_Rufous Fantail,renamed_since_global
Scythrops novaehollandiae_Channel-billed Cuckoo,chbcuc2,Scythrops novaehollandiae_Channel-billed Cuckoo,same_label
Sericornis frontalis_White-browed Scrubwren,whbscr1,Sericornis frontalis_White-browed Scrubwren,same_label
Sericornis magnirostra_Large-billed Scrubwren,labscr2,Sericornis magnirostra_Large-billed Scrubwren,same_label
Sericulus chrysocephalus_Regent Bowerbird,regbow1,,not_in_global_model
Smicrornis brevirostris_Weebill,weebil1,Smicrornis brevirostris_Weebill,same_label
Spatula rhynchotis_Australasian Shoveler,aussho1,,not_in_global_model
Sphecotheres vieilloti_Australasian Figbird,ausfig1,Sphecotheres vieilloti_Australasian Figbird,same_label
Spilopelia chinensis_Spotted Dove,spodov,Streptopelia chinensis_Spotted Dove,renamed_since_global
Stagonopleura guttata_Diamond Firetail,diafir1,,not_in_global_model
Stizoptera bichenovii_Double-barred Finch,dobfin1,Stizoptera bichenovii_Double-barred Finch,same_label
Strepera graculina_Pied Currawong,piecur1,Strepera graculina_Pied Currawong,same_label
