custom_class,ebird_code,global_label,status
Corvus tasmanicus_Forest Raven,forrav1,Corvus tasmanicus_Forest Raven,same_label
Coturnix pectoralis_Stubble Quail,stuqua1,Coturnix pectoralis_Stubble Quail,same_label
Cracticus nigrogularis_Pied Butcherbird,piebut1,Cracticus nigrogularis_Pied Butcherbird,same_label
Cracticus torquatus_Grey Butcherbird,grybut1,Cracticus torquatus_Gray Butcherbird,renamed_since_global
Cygnus atratus_Black Swan,blkswa,Cygnus atratus_Black Swan,same_label
Dacelo novaeguineae_Laughing Kookaburra,laukoo1,Dacelo novaeguineae_Laughing Kookaburra,same_label
Daphoenositta chrysoptera_Varied Sittella,varsit8,Daphoenositta chrysoptera_Varied Sittella,same_label
Dasyornis brachypterus_Eastern Bristlebird,easbri1,Dasyornis brachypterus_Eastern Bristlebird,same_label
Dendrocygna eytoni_Plumed Whistling Duck,plwduc1,Dendrocygna eytoni_Plumed Whistling-Duck,renamed_since_global
Dicaeum hirundinaceum_Mistletoebird,mistle1,Dicaeum hirundinaceum_Mistletoebird,same_label
Dicrurus bracteatus_Spangled Drongo,spadro1,Dicrurus bracteatus_Spangled Drongo,same_label
Dromaius novaehollandiae_Emu,emu1,,not_in_global_model
Drymodes brunneopygia_Southern Scrub-Robin,sosrob1,Drymodes brunneopygia_Southern Scrub-Robin,same_label
Edolisoma tenuirostre_Sahul Cicadabird,cicada1,Edolisoma tenuirostre_Common Cicadabird,renamed_since_global
Egretta garzetta_Little Egret,litegr,Egretta garzetta_Little Egret,same_label
Egretta novaehollandiae_White-faced Heron,whfher1,Egretta novaehollandiae_White-faced Heron,same_label
Elanus axillaris_Black-shouldered Kite,auskit1,,not_in_global_model
Elanus scriptus_Letter-winged Kite,lewkit1,,not_in_global_model
Emblema modestum_Plum-headed Finch,plhfin1,,not_in_global_model
Emblema pictum_Painted Finch,paifir1,,not_in_global_model
Entomyzon cyanotis_Blue-faced Honeyeater,blfhon1,Entomyzon cyanotis_Blue-faced Honeyeater,same_label
Eolophus roseicapilla_Galah,galah,Eolophus roseicapilla_Galah,same_label
Eopsaltria australis_Eastern Yellow Robin,yelrob1,Eopsaltria australis_Eastern Yellow Robin,same_label
Epthianura albifrons_White-fronted Chat,whfcha1,,not_in_global_model
Epthianura aurifrons_Orange Chat,oracha1,,not_in_global_model
Epthianura crocea_Yellow Chat,yelcha1,,not_in_global_model
Epthianura tricolor_Crimson Chat,cricha1,Epthianura tricolor_Crimson Chat,same_label
Erythrogonys cinctus_Red-kneed Dotterel,rekdot1,,not_in_global_model
Eudynamys orientalis_Pacific Koel,asikoe3,Eudynamys orientalis_Pacific Koel,same_label
Eurostopodus argus_Spotted Nightjar,sponig1,Eurostopodus argus_Spotted Nightjar,same_label
Eurostopodus mystacalis_White-throated Nightjar,whtnig3,Eurostopodus mystacalis_White-throated Nightjar,same_label
Eurystomus orientalis_Dollarbird,dollar1,Eurystomus orientalis_Dollarbird,same_label
Falco berigora_Brown Falcon,brofal1,Falco berigora_Brown Falcon,same_label
Falco cenchroides_Nankeen Kestrel,auskes1,,not_in_global_model
Falco longipennis_Australian Hobby,aushob1,,not_in_global_model
Falco peregrinus_Peregrine Falcon,perfal,Falco peregrinus_Peregrine Falcon,same_label
Falco subniger_Black Falcon,blafal1,,not_in_global_model
Falcunculus frontatus_Eastern Shrike-tit,cresht1,Falcunculus frontatus_Crested Shrike-tit,renamed_since_global
Fulica atra_Eurasian Coot,eurcoo,Fulica atra_Eurasian Coot,same_label
Gallinago hardwickii_Latham's Snipe,latsni1,Gallinago hardwickii_Latham's Snipe,same_label
Gallinula tenebrosa_Dusky Moorhen,dusmoo1,Gallinula tenebrosa_Dusky Moorhen,same_label
Gallirallus philippensis_Buff-banded Rail,bubrai1,Gallirallus philippensis_Buff-banded Rail,same_label
Gavicalis virescens_Singing Honeyeater,sinhon1,Gavicalis virescens_Singing Honeyeater,same_label
Gelochelidon macrotarsa_Australian Tern,gubter3,,not_in_global_model
Geopelia cuneata_Diamond Dove,diadov1,,not_in_global_model
Geopelia humeralis_Bar-shouldered Dove,basdov1,Geopelia humeralis_Bar-shouldered Dove,same_label
Geopelia placida_Peaceful Dove,peadov1,Geopelia placida_Peaceful Dove,same_label
Gerygone fusca_Western Gerygone,wesger1,Gerygone fusca_Western Gerygone,same_label
Gerygone mouki_Brown Gerygone,broger1,Gerygone mouki_Brown Gerygone,same_label
Gerygone olivacea_White-throated Gerygone,whtger1,Gerygone olivacea_White-throated Gerygone,same_label
Glareola isabella_Australian Pratincole,auspra1,,not_in_global_model
