label,old_sciname,old_comname,new_sciname,new_comname,old_code,new_code,reason
"Laterallus xenopterus_Rufous-faced Crake","Laterallus xenopterus","Rufous-faced Crake","Rufirallus xenopterus","Rufous-faced Crake","rufcra1","rufcra1","name changed upstream"
"Lepidothrix coronata_Blue-crowned Manakin","Lepidothrix coronata","Blue-crowned Manakin","Lepidothrix coronata","Blue-capped Manakin","blcman1","blcman1","name changed upstream"
"Leucolia violiceps_Violet-crowned Hummingbird","Leucolia violiceps","Violet-crowned Hummingbird","Ramosomyia violiceps","Violet-crowned Hummingbird","vichum","vichum","name changed upstream"
"Lichmera incana_Dark-brown Honeyeater","Lichmera incana","Dark-brown Honeyeater","Lichmera incana","Gray-eared Honeyeater","dabhon1","dabhon1","name changed upstream"
"Liocichla steerii_Steere's Liocichla","Liocichla steerii","Steere's Liocichla","Liocichla steerii","Taiwan Liocichla","stelio1","stelio1","name changed upstream"
"Locustella naevia_Common Grasshopper-Warbler","Locustella naevia","Common Grasshopper-Warbler","Locustella naevia","Common Grasshopper Warbler","cogwar1","cogwar1","name changed upstream"
"Lophoceros fasciatus_African Pied Hornbill","Lophoceros fasciatus","African Pied Hornbill","Lophoceros semifasciatus/fasciatus","West African/Congo Pied Hornbill","afphor1","afphor1","name changed upstream"
"Lophochroa leadbeateri_Pink Cockatoo","Lophochroa leadbeateri","Pink Cockatoo","Cacatua leadbeateri","Pink Cockatoo","pincoc1","pincoc1","name changed upstream"
"Lophorina superba_Greater Lophorina","Lophorina superba","Greater Lophorina","Lophorina latipennis","Greater Lophorina","grsbop1","grsbop1","name changed upstream"
"Lybius bidentatus_Double-toothed Barbet","Lybius bidentatus","Double-toothed Barbet","Pogonornis bidentatus","Double-toothed Barbet","dotbar1","dotbar1","name changed upstream"
"Lycocorax pyrrhopterus_Paradise-crow","Lycocorax pyrrhopterus","Paradise-crow","Lycocorax pyrrhopterus","Halmahera Paradise-crow","parcro1","paradi2","code changed"
"Macropygia mackinlayi_Mackinlay's Cuckoo-Dove","Macropygia mackinlayi","Mackinlay's Cuckoo-Dove","Macropygia mackinlayi","Spot-breasted Cuckoo-Dove","macdov1","macdov1","name changed upstream"
"Megapodius cumingii_Tabon Scrubfowl","Megapodius cumingii","Tabon Scrubfowl","Megapodius cumingii","Philippine Megapode","tabscr1","tabscr1","name changed upstream"
"Megapodius eremita_Melanesian Scrubfowl","Megapodius eremita","Melanesian Scrubfowl","Megapodius eremita","Melanesian Megapode","melscr1","melscr1","name changed upstream"
"Megapodius freycinet_Dusky Scrubfowl","Megapodius freycinet","Dusky Scrubfowl","Megapodius freycinet [freycinet Group]","Dusky Megapode (Dusky)","dusscr2","dusscr2","name changed upstream"
"Megapodius reinwardt_Orange-footed Scrubfowl","Megapodius reinwardt","Orange-footed Scrubfowl","Megapodius reinwardt","Orange-footed Megapode","orfscr1","orfscr1","name changed upstream"
"Meiglyptes tristis_Buff-rumped Woodpecker","Meiglyptes tristis","Buff-rumped Woodpecker","Meiglyptes grammithorax","Buff-rumped Woodpecker","burwoo1","burwoo1","name changed upstream"
