label,old_sciname,old_comname,new_sciname,new_comname,old_code,new_code,reason
"Psilorhinus morio_Brown Jay","Psilorhinus morio","Brown Jay","Cyanocorax morio","Brown Jay","brnjay","brnjay","name changed upstream"
"Psittiparus gularis_Gray-headed Parrotbill","Psittiparus gularis","Gray-headed Parrotbill","Paradoxornis gularis","Gray-headed Parrotbill","gyhpar3","gyhpar3","name changed upstream"
"Psophocichla litsitsirupa_Groundscraper Thrush","Psophocichla litsitsirupa","Groundscraper Thrush","Turdus litsitsirupa","Groundscraper Thrush","grothr1","grothr1","name changed upstream"
"Pternistis adspersus_Red-billed Francolin","Pternistis adspersus","Red-billed Francolin","Pternistis adspersus","Red-billed Spurfowl","rebfra1","rebfra1","name changed upstream"
"Pternistis afer_Red-necked Francolin","Pternistis afer","Red-necked Francolin","Pternistis afer","Red-necked Spurfowl","renfra1","renfra1","name changed upstream"
"Pternistis ahantensis_Ahanta Francolin","Pternistis ahantensis","Ahanta Francolin","Pternistis ahantensis","Ahanta Spurfowl","ahafra2","ahafra2","name changed upstream"
"Pternistis bicalcaratus_Double-spurred Francolin","Pternistis bicalcaratus","Double-spurred Francolin","Pternistis bicalcaratus","Double-spurred Spurfowl","dosfra2","dosfra2","name changed upstream"
"Pternistis capensis_Cape Francolin","Pternistis capensis","Cape Francolin","Pternistis capensis","Cape Spurfowl","capfra2","capfra2","name changed upstream"
"Pternistis erckelii_Erckel's Francolin","Pternistis erckelii","Erckel's Francolin","Pternistis erckelii","Erckel's Spurfowl","ercfra","ercfra","name changed upstream"
"Pternistis hildebrandti_Hildebrandt's Francolin","Pternistis hildebrandti","Hildebrandt's Francolin","Pternistis hildebrandti","Hildebrandt's Spurfowl","hilfra2","hilfra2","name changed upstream"
"Pternistis leucoscepus_Yellow-necked Francolin","Pternistis leucoscepus","Yellow-necked Francolin","Pternistis leucoscepus","Yellow-necked Spurfowl","yenspu1","yenspu1","name changed upstream"
"Pternistis natalensis_Natal Francolin","Pternistis natalensis","Natal Francolin","Pternistis natalensis","Natal Spurfowl","natfra2","natfra2","name changed upstream"
"Pternistis squamatus_Scaly Francolin","Pternistis squamatus","Scaly Francolin","Pternistis squamatus","Scaly Spurfowl","scafra2","scafra2","name changed upstream"
"Pternistis swainsonii_Swainson's Francolin","Pternistis swainsonii","Swainson's Francolin","Pternistis swainsonii","Swainson's Spurfowl","swafra2","swafra2","name changed upstream"
"Pteroglossus torquatus_Collared Aracari","Pteroglossus torquatus","Collared Aracari","Pteroglossus torquatus/erythropygius","Collared/Pale-mandibled Aracari","colara1","colara1","name changed upstream"
"Pteruthius aeralatus_Blyth's Shrike-Babbler","Pteruthius aeralatus","Blyth's Shrike-Babbler","Pteruthius aeralatus","White-browed Shrike-Babbler","blyshb1","whbshb1","code changed"
"Pteruthius ripleyi_Himalayan Shrike-Babbler","Pteruthius ripleyi","Himalayan Shrike-Babbler","Pteruthius aeralatus ripleyi","White-browed Shrike-Babbler (Himalayan)","himshb1","himshb1","name changed upstream"
"Ptilinopus magnificus_Wompoo Fruit-Dove","Ptilinopus magnificus","Wompoo Fruit-Dove","Megaloprepia magnifica","Wompoo Fruit-Dove","wofdov1","wofdov1","name changed upstream"
"Ptilinopus occipitalis_Yellow-breasted Fruit-Dove","Ptilinopus occipitalis","Yellow-breasted Fruit-Dove","Ramphiculus occipitalis","Yellow-breasted Fruit-Dove","ybfdov2","ybfdov2","name changed upstream"
"Ptyonoprogne fuligula_Rock Martin","Ptyonoprogne fuligula","Rock Martin","Ptyonoprogne fuligula","Southern Crag-Martin","rocmar2","rocmar5","code changed"
"Pycnonotus striatus_Striated Bulbul","Pycnonotus striatus","Striated Bulbul","Alcurus striatus","Striated Bulbul","strbul2","strbul2","name changed upstream"
"Pyrrhura picta_Painted Parakeet","Pyrrhura picta","Painted Parakeet","Pyrrhura subandina","Subandean Parakeet","paipar1","paipar1","name changed upstream"
"Reinwardtipicus validus_Orange-backed Woodpecker","Reinwardtipicus validus","Orange-backed Woodpecker","Chrysocolaptes validus","Orange-backed Woodpecker","orbwoo1","orbwoo1","name changed upstream"
"Rhaphidura leucopygialis_Silver-rumped Needletail","Rhaphidura leucopygialis","Silver-rumped Needletail","Rhaphidura leucopygialis","Silver-rumped Spinetail","sirnee1","sirnee1","name changed upstream"
"Rhipidura rufifrons_Rufous Fantail","Rhipidura rufifrons","Rufous Fantail","Rhipidura rufifrons","Australian Rufous Fantail","ruffan1","ruffan13","code changed"
"Rhipidura verreauxi_Streaked Fantail","Rhipidura verreauxi","Streaked Fantail","Rhipidura verreauxi","New Caledonian Streaked Fantail","strfan1","strfan5","code changed"
"Rhodothraupis celaeno_Crimson-collared Grosbeak","Rhodothraupis celaeno","Crimson-collared Grosbeak","Periporphyrus celaeno","Crimson-collared Grosbeak","crcgro","crcgro","name changed upstream"
"Rhynchocyclus olivaceus_Olivaceous Flatbill","Rhynchocyclus olivaceus","Olivaceous Flatbill","Rhynchocyclus aequinoctialis/olivaceus","Western/Eastern Olivaceous Flatbill","olifla1","olifla1","name changed upstream"
"Riparia diluta_Pale Sand Martin","Riparia diluta","Pale Sand Martin","Riparia diluta","Pale Martin","pasmar1","pasmar1","name changed upstream"
"Sakesphorus cristatus_Silvery-cheeked Antshrike","Sakesphorus cristatus","Silvery-cheeked Antshrike","Sakesphoroides cristatus","Silvery-cheeked Antshrike","sicant1","sicant1","name changed upstream"
"Saltator coerulescens_Blue-gray Saltator","Saltator coerulescens","Blue-gray Saltator","Saltator coerulescens","Bluish-gray Saltator","grasal3","grasal3","name changed upstream"
"Saltator olivascens_Olivaceous Saltator","Saltator olivascens","Olivaceous Saltator","Saltator olivascens","Olive-gray Saltator","grasal4","grasal4","name changed upstream"
"Sericornis citreogularis_Yellow-throated Scrubwren","Sericornis citreogularis","Yellow-throated Scrubwren","Neosericornis citreogularis","Yellow-throated Scrubwren","yetscr1","yetscr1","name changed upstream"
"Sericornis papuensis_Papuan Scrubwren","Sericornis papuensis","Papuan Scrubwren","Aethomyias papuensis","Papuan Scrubwren","papscr1","papscr1","name changed upstream"
"Serpophaga munda_White-bellied Tyrannulet","Serpophaga munda","White-bellied Tyrannulet","Serpophaga subcristata munda","White-crested Tyrannulet (White-bellied)","whbtyr2","whbtyr2","name changed upstream"
"Setophaga petechia_Yellow Warbler","Setophaga petechia","Yellow Warbler","Setophaga aestiva/petechia","Northern/Mangrove Yellow Warbler","yelwar","yelwar","name changed upstream"
"Sinosuthora webbiana_Vinous-throated Parrotbill","Sinosuthora webbiana","Vinous-throated Parrotbill","Suthora webbiana","Vinous-throated Parrotbill","vitpar1","vitpar1","name changed upstream"
"Spodiornis rusticus_Slaty Finch","Spodiornis rusticus","Slaty Finch","Haplospiza rustica","Slaty Finch","slafin1","slafin1","name changed upstream"
"Sporophila murallae_Caqueta Seedeater","Sporophila murallae","Caqueta Seedeater","Sporophila americana murallae","Wing-barred Seedeater (Caqueta)","caqsee1","caqsee1","name changed upstream"
"Stactolaema olivacea_Green Barbet","Stactolaema olivacea","Green Barbet","Cryptolybia olivacea","Green Barbet","grebar2","grebar2","name changed upstream"
"Stilpnia cyanoptera_Black-headed Tanager","Stilpnia cyanoptera","Black-headed Tanager","Stilpnia cyanoptera","Black-headed Tanager","blhtan1","bkhtan1","code changed"
"Stiphrornis erythrothorax_Forest Robin","Stiphrornis erythrothorax","Forest Robin","Stiphrornis erythrothorax","Orange-breasted Forest Robin","forrob1","obfrob1","code changed"
"Streptopelia chinensis_Spotted Dove","Streptopelia chinensis","Spotted Dove","Spilopelia chinensis","Spotted Dove","spodov","spodov","name changed upstream"
"Streptopelia senegalensis_Laughing Dove","Streptopelia senegalensis","Laughing Dove","Spilopelia senegalensis","Laughing Dove","laudov1","laudov1","name changed upstream"
"Sylvietta rufescens_Cape Crombec","Sylvietta rufescens","Cape Crombec","Sylvietta rufescens","Long-billed Crombec","capcro1","capcro1","name changed upstream"
"Symposiachrus trivirgatus_Spectacled Monarch","Symposiachrus trivirgatus","Spectacled Monarch","Symposiachrus trivirgatus","Australian Spectacled Monarch","spemon1","spemon1","name changed upstream"
"Systellura decussata_Tschudi's Nightjar","Systellura decussata","Tschudi's Nightjar","Quechuavis decussata","Tschudi's Nightjar","bawnig3","bawnig3","name changed upstream"
"Tachornis phoenicobia_Antillean Palm-Swift","Tachornis phoenicobia","Antillean Palm-Swift","Tachornis phoenicobia","Antillean Palm Swift","anpswi","anpswi","name changed upstream"
"Tachornis squamata_Fork-tailed Palm-Swift","Tachornis squamata","Fork-tailed Palm-Swift","Tachornis squamata","Fork-tailed Palm Swift","ftpswi1","ftpswi1","name changed upstream"
"Tauraco leucotis_White-cheeked Turaco","Tauraco leucotis","White-cheeked Turaco","Menelikornis leucotis","White-cheeked Turaco","whctur1","whctur1","name changed upstream"
"Tauraco porphyreolophus_Purple-crested Turaco","Tauraco porphyreolophus","Purple-crested Turaco","Gallirex porphyreolophus","Purple-crested Turaco","puctur2","puctur2","name changed upstream"
"Telophorus bocagei_Gray-green Bushshrike","Telophorus bocagei","Gray-green Bushshrike","Chlorophoneus bocagei","Gray-green Bushshrike","gygbus1","gygbus1","name changed upstream"
"Telophorus nigrifrons_Black-fronted Bushshrike","Telophorus nigrifrons","Black-fronted Bushshrike","Chlorophoneus nigrifrons","Black-fronted Bushshrike","blfbus1","blfbus1","name changed upstream"
"Telophorus olivaceus_Olive Bushshrike","Telophorus olivaceus","Olive Bushshrike","Chlorophoneus olivaceus","Olive Bushshrike","olibus1","olibus1","name changed upstream"
"Telophorus sulfureopectus_Sulphur-breasted Bushshrike","Telophorus sulfureopectus","Sulphur-breasted Bushshrike","Chlorophoneus sulfureopectus","Sulphur-breasted Bushshrike","subbus1","subbus1","name changed upstream"
"Terpsiphone atrocaudata_Japanese Paradise-Flycatcher","Terpsiphone atrocaudata","Japanese Paradise-Flycatcher","Terpsiphone atrocaudata","Black Paradise-Flycatcher","japfly1","japfly1","name changed upstream"
"Thamnophilus bernardi_Collared Antshrike","Thamnophilus bernardi","Collared Antshrike","Thamnophilus bernardi/shumbae","Collared/Marañon Antshrike","colant1","colant1","name changed upstream"
"Tolmomyias assimilis_Yellow-margined Flycatcher","Tolmomyias assimilis","Yellow-margined Flycatcher","Tolmomyias assimilis","Yellow-margined Flatbill","yemfly1","yemfly1","name changed upstream"
"Tolmomyias flaviventris_Yellow-breasted Flycatcher","Tolmomyias flaviventris","Yellow-breasted Flycatcher","Tolmomyias viridiceps/flaviventris","Olive-faced/Ochre-lored Flatbill","yebfly1","yebfly1","name changed upstream"
"Tolmomyias poliocephalus_Gray-crowned Flycatcher","Tolmomyias poliocephalus","Gray-crowned Flycatcher","Tolmomyias poliocephalus","Gray-crowned Flatbill","gycfly1","gycfly1","name changed upstream"
"Tolmomyias sulphurescens_Yellow-olive Flycatcher","Tolmomyias sulphurescens","Yellow-olive Flycatcher","Tolmomyias sulphurescens","Yellow-olive Flatbill","yeofly1","yeofly1","name changed upstream"
"Tolmomyias traylori_Orange-eyed Flycatcher","Tolmomyias traylori","Orange-eyed Flycatcher","Tolmomyias traylori","Orange-eyed Flatbill","orefly1","orefly1","name changed upstream"
"Trachyphonus purpuratus_Yellow-billed Barbet","Trachyphonus purpuratus","Yellow-billed Barbet","Trachylaemus goffinii","Western Yellow-billed Barbet","yebbar1","yebbar1","name changed upstream"
"Tregellasia capito_Pale-yellow Robin","Tregellasia capito","Pale-yellow Robin","Eopsaltria capito","Pale-yellow Robin","payrob1","payrob1","name changed upstream"
"Trochocercus cyanomelas_African Crested-Flycatcher","Trochocercus cyanomelas","African Crested-Flycatcher","Trochocercus cyanomelas","African Crested Flycatcher","afcfly1","afcfly1","name changed upstream"
"Trochocercus nitens_Blue-headed Crested-Flycatcher","Trochocercus nitens","Blue-headed Crested-Flycatcher","Trochocercus nitens","Blue-headed Crested Flycatcher","bhcfly1","bhcfly1","name changed upstream"
"Troglodytes aedon_House Wren","Troglodytes aedon","House Wren","Troglodytes aedon","Northern House Wren","houwre","houwre","name changed upstream"
"Trogon caligatus_Gartered Trogon","Trogon caligatus","Gartered Trogon","Trogon caligatus","Gartered Violaceous Trogon","gartro1","gartro1","name changed upstream"
"Trogon elegans_Elegant Trogon","Trogon elegans","Elegant Trogon","Trogon elegans","Elegant Trogon","eletro","eletro2","code changed"
"Trogon ramonianus_Amazonian Trogon","Trogon ramonianus","Amazonian Trogon","Trogon ramonianus","Amazonian Violaceous Trogon","viotro3","viotro3","name changed upstream"
"Trogon rufus_Black-throated Trogon","Trogon rufus","Black-throated Trogon","Trogon rufus","Amazonian Black-throated Trogon","blttro2","bkttro6","code changed"
"Trogon violaceus_Guianan Trogon","Trogon violaceus","Guianan Trogon","Trogon violaceus","Guianan Violaceous Trogon","viotro2","viotro2","name changed upstream"
"Tumbezia salvini_Tumbes Tyrant","Tumbezia salvini","Tumbes Tyrant","Ochthoeca salvini","Tumbes Chat-Tyrant","tumtyr2","tumtyr2","name changed upstream"
"Tunchiornis ochraceiceps_Tawny-crowned Greenlet","Tunchiornis ochraceiceps","Tawny-crowned Greenlet","Tunchiornis ochraceiceps","Ochre-crowned Greenlet","tacgre1","tacgre2","code changed"
"Turdus plumbeus_Red-legged Thrush","Turdus plumbeus","Red-legged Thrush","Turdus plumbeus","Western Red-legged Thrush","relthr1","relthr1","name changed upstream"
"Turdus poliocephalus_Island Thrush","Turdus poliocephalus","Island Thrush","Turdus poliocephalus","Tasman Sea Island-Thrush","islthr1","norist1","code changed"
"Tyto alba_Barn Owl","Tyto alba","Barn Owl","Tyto furcata","American Barn Owl","brnowl","brnowl","name changed upstream"
"Upupa epops_Eurasian Hoopoe","Upupa epops","Eurasian Hoopoe","Upupa epops","Common Hoopoe","hoopoe","hoopoe","name changed upstream"
"Urosphena pallidipes_Pale-footed Bush Warbler","Urosphena pallidipes","Pale-footed Bush Warbler","Hemitesia pallidipes","Pale-footed Bush Warbler","pfbwar1","pfbwar1","name changed upstream"
"Vanellus cayanus_Pied Lapwing","Vanellus cayanus","Pied Lapwing","Hoploxypterus cayanus","Pied Plover","pielap1","pielap1","name changed upstream"
"Vidua funerea_Variable Indigobird","Vidua funerea","Variable Indigobird","Vidua funerea","Dusky Indigobird","varind1","varind1","name changed upstream"
"Vireo gilvus_Warbling Vireo","Vireo gilvus","Warbling Vireo","Vireo gilvus/swainsoni","Eastern/Western Warbling Vireo","warvir","warvir","name changed upstream"
"Xenops minutus_Plain Xenops","Xenops minutus","Plain Xenops","Xenops minutus","Atlantic Plain-Xenops","plaxen1","plaxen4","code changed"
"Zavattariornis stresemanni_Stresemann's Bush-Crow","Zavattariornis stresemanni","Stresemann's Bush-Crow","Zavattariornis stresemanni","Ethiopian Bushcrow","stbcro1","stbcro1","name changed upstream"
